,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
12388,11.0,0.0,5.0,11.0,4.0,1.0,4.0,2.0,7.0,0,1,0,1
12389,7.0,1.0,3.0,5.0,7.0,6.0,4.0,1.0,13.0,1,0,1,0
12390,9.0,0.0,3.0,12.0,2.0,1.0,3.0,0.0,9.0,0,1,1,0
12391,7.0,0.0,2.0,13.0,7.0,2.0,4.0,1.0,11.0,1,0,1,0
12392,7.0,1.0,2.0,9.0,4.0,2.0,6.0,1.0,8.0,0,1,1,0
12393,5.0,2.0,2.0,12.0,6.0,1.0,4.0,2.0,8.0,1,0,0,1
12394,8.0,0.0,0.0,6.0,2.0,7.0,3.0,2.0,13.0,0,1,0,1
12395,3.0,1.0,1.0,13.0,10.0,5.0,3.0,3.0,7.0,1,0,1,0
12396,16.0,1.0,6.0,6.0,5.0,2.0,7.0,0.0,12.0,0,1,1,0
12397,11.0,1.0,2.0,6.0,5.0,4.0,4.0,2.0,11.0,1,0,1,0
12398,11.0,0.0,1.0,9.0,6.0,5.0,0.0,2.0,9.0,0,1,1,0
12399,10.0,2.0,2.0,16.0,7.0,6.0,3.0,1.0,21.0,1,0,1,0
12400,8.0,0.0,2.0,9.0,6.0,2.0,5.0,1.0,8.0,0,1,1,0
12401,3.0,1.0,3.0,4.0,10.0,1.0,2.0,6.0,7.0,1,0,1,0
12402,10.0,2.0,5.0,9.0,5.0,0.0,4.0,2.0,12.0,0,1,1,0
12403,9.0,0.0,3.0,10.0,5.0,1.0,3.0,0.0,4.0,1,0,0,1
12404,15.0,0.0,5.0,12.0,5.0,5.0,1.0,0.0,8.0,0,1,0,1
12405,9.0,2.0,2.0,9.0,7.0,1.0,3.0,2.0,9.0,1,0,0,1
12406,12.0,2.0,3.0,10.0,2.0,2.0,3.0,1.0,12.0,0,1,0,1
12407,6.0,3.0,2.0,4.0,5.0,0.0,2.0,1.0,12.0,1,0,0,1
12408,4.0,0.0,2.0,6.0,1.0,1.0,2.0,2.0,12.0,0,1,0,1
12409,6.0,0.0,1.0,15.0,6.0,1.0,5.0,2.0,9.0,1,0,0,1
12410,17.0,2.0,2.0,9.0,1.0,2.0,3.0,0.0,9.0,0,1,0,1
12411,13.0,1.0,3.0,7.0,1.0,2.0,4.0,3.0,13.0,1,0,0,1
12412,11.0,1.0,4.0,9.0,4.0,2.0,3.0,2.0,11.0,0,1,0,1
12413,14.0,1.0,3.0,6.0,3.0,2.0,4.0,0.0,8.0,1,0,1,0
12414,3.0,0.0,5.0,6.0,9.0,3.0,0.0,3.0,12.0,0,1,1,0
12415,11.0,1.0,1.0,7.0,5.0,0.0,6.0,0.0,8.0,1,0,1,0
12416,5.0,0.0,0.0,5.0,7.0,2.0,1.0,1.0,7.0,0,1,1,0
12417,4.0,1.0,8.0,8.0,3.0,4.0,3.0,1.0,5.0,1,0,1,0
12418,11.0,0.0,3.0,12.0,7.0,1.0,11.0,1.0,8.0,0,1,1,0
12419,4.0,2.0,2.0,12.0,7.0,1.0,5.0,0.0,4.0,1,0,0,1
12420,8.0,0.0,4.0,10.0,6.0,1.0,3.0,1.0,9.0,0,1,0,1
12421,8.0,1.0,1.0,11.0,3.0,6.0,2.0,0.0,10.0,1,0,0,1
12422,9.0,0.0,2.0,5.0,7.0,3.0,8.0,0.0,15.0,0,1,0,1
12423,2.0,1.0,2.0,5.0,13.0,5.0,1.0,2.0,5.0,1,0,1,0
12424,18.0,2.0,0.0,12.0,3.0,3.0,2.0,2.0,12.0,0,1,1,0
12425,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,1,0
12426,9.0,2.0,1.0,12.0,5.0,2.0,5.0,3.0,7.0,1,0,1,0
12427,8.0,1.0,1.0,11.0,5.0,1.0,5.0,2.0,14.0,0,1,1,0
12428,7.0,1.0,5.0,6.0,8.0,6.0,4.0,0.0,5.0,1,0,1,0
12429,10.0,0.0,7.0,10.0,2.0,5.0,4.0,0.0,9.0,0,1,1,0
12430,10.0,0.0,1.0,8.0,10.0,3.0,1.0,1.0,11.0,1,0,1,0
12431,10.0,0.0,1.0,8.0,7.0,5.0,9.0,0.0,12.0,0,1,1,0
12432,10.0,1.0,2.0,13.0,3.0,2.0,0.0,1.0,13.0,1,0,1,0
12433,10.0,2.0,0.0,10.0,1.0,8.0,5.0,1.0,9.0,0,1,1,0
12434,9.0,2.0,3.0,9.0,5.0,0.0,4.0,4.0,11.0,1,0,0,1
12435,11.0,0.0,0.0,8.0,3.0,3.0,1.0,3.0,9.0,0,1,0,1
12436,8.0,0.0,5.0,6.0,4.0,0.0,4.0,3.0,10.0,1,0,0,1
12437,16.0,0.0,1.0,6.0,5.0,2.0,5.0,0.0,11.0,0,1,0,1
12438,11.0,1.0,2.0,13.0,5.0,1.0,4.0,3.0,10.0,1,0,0,1
12439,9.0,0.0,4.0,10.0,4.0,4.0,3.0,1.0,9.0,1,0,1,0
12440,6.0,1.0,1.0,6.0,3.0,3.0,7.0,1.0,15.0,0,1,1,0
12441,9.0,0.0,2.0,14.0,4.0,5.0,3.0,4.0,10.0,0,1,0,1
12442,3.0,0.0,0.0,9.0,8.0,1.0,4.0,0.0,2.0,1,0,0,1
12443,6.0,0.0,1.0,7.0,2.0,3.0,6.0,0.0,6.0,0,1,0,1
